"client_id","first_name","last_name","gender","age","email","city","address","postal_code","country","citizenship","document_type","document_number","registration_date","last_seen"
"21e5c13d-1c9a-4d00-9164-b72302d5edef",Tristán,Rojas,M,42,tristán.rojas13@example.com,Rivera,Bulevar Artigas 3757,"28289",Uruguay,Uruguay,CI,"2719583-8",2025-05-02 00:00:00.000,2025-06-19 00:00:00.000
"36e48bdd-db11-4abe-9526-cfc90e68924d",Óscar,Barranco,M,58,óscar.barranco13@example.com,Salto,Bulevar Artigas 3911,"76237",Uruguay,Uruguay,CI,"1445199-8",2023-02-24 00:00:00.000,2023-12-09 00:00:00.000
"145c22df-3579-412e-bc12-b4fce70abaf3",Macario,Querol,M,28,macario.querol67@example.com,Rivera,Av. Rivera 206,"30926",Uruguay,Uruguay,CI,"8090293-5",2024-10-03 00:00:00.000,2025-05-03 00:00:00.000
"90c4a925-e51f-4dac-9193-2d9aec97a472",Ramiro,Sanchez,M,19,ramiro.sanchez53@example.com,Salto,Av. 18 de Julio 6324,"22676",Uruguay,Uruguay,CI,"7022674-5",2025-01-13 00:00:00.000,2025-08-11 00:00:00.000
"853f711a-4c36-40b4-b5d0-6207152cd793",Juan Francisco,Flor,M,36,juan francisco.flor68@example.com,Mercedes,Av. 18 de Julio 6301,"20328",Uruguay,Uruguay,CI,"5918715-9",2025-03-09 00:00:00.000,2025-03-21 00:00:00.000
"22cdc8c6-e370-4fb5-aa37-91f1d7a6fba6",Iker,Guardiola,M,25,iker.guardiola15@example.com,Las Piedras,Av. Rivera 4841,"20458",Uruguay,Uruguay,CI,"4905582-1",2025-06-04 00:00:00.000,2025-08-08 00:00:00.000
b4f357f5-3b86-4aae-927f-0ee4da25baf9,Benita,Ballesteros,F,47,benita.ballesteros91@example.com,Maldonado,Bulevar Artigas 6165,"56566",Uruguay,Uruguay,CI,"4514944-4",2025-05-15 00:00:00.000,2025-05-27 00:00:00.000
f05a7bb5-a3c2-4ee7-a5a1-2aab5f885183,Óscar,Doménech,M,46,óscar.doménech78@example.com,Las Piedras,Bulevar Artigas 7673,"59735",Uruguay,Uruguay,CI,"5528972-8",2023-03-11 00:00:00.000,2024-04-15 00:00:00.000
e66b3d22-5a63-43b4-86e3-df61f8e3c415,Bernabé,Vicens,M,28,bernabé.vicens39@example.com,Montevideo,Av. Rivera 5268,"62581",Uruguay,Uruguay,CI,"5491946-1",2025-08-03 00:00:00.000,2025-08-30 00:00:00.000
f2f46b96-3a9e-4b8e-8efc-d63c724256d9,Carlos,Pablo,M,24,carlos.pablo93@example.com,Melo,Gral. Flores 7617,"28726",Uruguay,Uruguay,CI,"5443951-2",2024-09-06 00:00:00.000,2025-05-24 00:00:00.000
